# BUSCO version is: 2.0.1 
# The lineage dataset is: embryophyta_odb9 (Creation date: 2016-02-13, number of species: 30, number of BUSCOs: 1440)
# To reproduce this run: python /home/deepseq/tool/BUSCO_v2.0.1/BUSCO.py -i Trinity.fasta.ca -o 202011110210-B1YMW2LFF1NY5T3G_DE_trans -l /home/deepseq/tool/BUSCO_v2.0.1/embryophyta_odb9/ -m tran -c 32 -sp arabidopsis
#
# Busco id	Status	Sequence	Score	Length
EOG093600IQ	Complete	C0000002932_TRINITY_DN27583_c1_g1_i1	1995.7	1134
EOG093600K5	Duplicated	C0000199597_TRINITY_DN28301_c6_g1_i1	1790.9	983
EOG093600K5	Duplicated	C0000199603_TRINITY_DN28301_c6_g1_i5	1791.3	983
EOG093600LV	Missing
EOG093600N9	Duplicated	C0000092063_TRINITY_DN27139_c2_g1_i1	1525.5	1019
EOG093600N9	Duplicated	C0000092074_TRINITY_DN27139_c2_g1_i9	1476.4	949
EOG093600N9	Duplicated	C0000092075_TRINITY_DN27139_c2_g1_i10	1479.4	949
EOG093600NS	Missing
EOG093600O6	Missing
EOG093600OF	Duplicated	C0000126729_TRINITY_DN27330_c0_g1_i25	1214.5	706
EOG093600OF	Duplicated	C0000126730_TRINITY_DN27330_c0_g1_i26	1214.4	706
EOG093600OF	Duplicated	C0000126732_TRINITY_DN27330_c0_g1_i28	1214.9	706
EOG093600ON	Duplicated	C0000140790_TRINITY_DN27862_c0_g1_i2	1640.8	971
EOG093600ON	Duplicated	C0000140800_TRINITY_DN27862_c0_g2_i7	1640.8	971
EOG093600ON	Duplicated	C0000140801_TRINITY_DN27862_c0_g2_i8	1612.3	970
EOG093600OU	Duplicated	C0000123140_TRINITY_DN29632_c2_g3_i2	1578.8	938
EOG093600OU	Duplicated	C0000123163_TRINITY_DN29632_c2_g1_i9	1576.2	938
EOG093600OU	Duplicated	C0000123173_TRINITY_DN29632_c2_g1_i11	1566.8	892
EOG093600P5	Complete	C0000230015_TRINITY_DN28147_c1_g2_i1	1054.1	769
EOG093600PE	Duplicated	C0000200398_TRINITY_DN28348_c1_g5_i1	2222.9	1145
EOG093600PE	Duplicated	C0000200403_TRINITY_DN28348_c1_g5_i4	2222.9	1145
EOG093600PE	Duplicated	C0000200407_TRINITY_DN28348_c1_g1_i4	2224.9	1145
EOG093600QB	Complete	C0000273860_TRINITY_DN30813_c2_g3_i5	951.9	583
EOG093600R5	Duplicated	C0000259713_TRINITY_DN29093_c0_g2_i1	1606.9	911
EOG093600R5	Duplicated	C0000259737_TRINITY_DN29093_c0_g2_i5	1619.7	911
EOG093600R5	Duplicated	C0000259747_TRINITY_DN29093_c0_g1_i24	1619.8	911
EOG093600SL	Duplicated	C0000248084_TRINITY_DN25099_c0_g1_i17	1394.0	805
EOG093600SL	Duplicated	C0000248089_TRINITY_DN25099_c0_g1_i22	1394.0	805
EOG093600SS	Duplicated	C0000049088_TRINITY_DN26051_c0_g1_i13	1223.3	826
EOG093600SS	Duplicated	C0000049089_TRINITY_DN26051_c0_g1_i14	1245.3	822
EOG093600SS	Duplicated	C0000049092_TRINITY_DN26051_c0_g1_i17	1244.8	822
EOG093600SY	Duplicated	C0000178361_TRINITY_DN26130_c0_g1_i1	1598.8	879
EOG093600SY	Duplicated	C0000178363_TRINITY_DN26130_c0_g1_i3	1464.2	737
EOG093600SY	Duplicated	C0000178363_TRINITY_DN26130_c0_g1_i3	1594.7	893
EOG093600SY	Duplicated	C0000178368_TRINITY_DN26130_c0_g1_i8	1464.1	737
EOG093600SY	Duplicated	C0000178368_TRINITY_DN26130_c0_g1_i8	1619.1	947
EOG093600T6	Fragmented	C0000254645_TRINITY_DN17590_c0_g1_i3	195.8	176
EOG093600T8	Duplicated	C0000127776_TRINITY_DN14334_c0_g1_i1	822.1	856
EOG093600T8	Duplicated	C0000169089_TRINITY_DN28077_c2_g1_i1	821.3	855
EOG093600TY	Duplicated	C0000091376_TRINITY_DN27131_c0_g2_i2	1393.7	1789
EOG093600TY	Duplicated	C0000091389_TRINITY_DN27131_c0_g4_i1	1393.5	1789
EOG093600TZ	Duplicated	C0000307534_TRINITY_DN25145_c0_g1_i3	1559.4	865
EOG093600TZ	Duplicated	C0000307544_TRINITY_DN25145_c0_g1_i13	1452.6	806
EOG093600TZ	Duplicated	C0000307544_TRINITY_DN25145_c0_g1_i13	1452.6	806
EOG093600TZ	Duplicated	C0000307547_TRINITY_DN25145_c0_g1_i16	1453.9	810
EOG093600U4	Duplicated	C0000299519_TRINITY_DN28456_c0_g1_i5	1107.8	674
EOG093600U4	Duplicated	C0000299528_TRINITY_DN28456_c0_g1_i14	1107.8	674
EOG093600U4	Duplicated	C0000299531_TRINITY_DN28456_c0_g1_i17	1107.8	674
EOG093600U9	Duplicated	C0000249603_TRINITY_DN25816_c0_g1_i1	1739.9	1071
EOG093600U9	Duplicated	C0000249606_TRINITY_DN25816_c0_g1_i4	1740.0	1071
EOG093600U9	Duplicated	C0000249612_TRINITY_DN25816_c0_g1_i10	1717.9	1047
EOG093600UX	Fragmented	C0000287892_TRINITY_DN23288_c0_g4_i1	900.4	732
EOG093600W2	Duplicated	C0000040969_TRINITY_DN26458_c0_g1_i8	1168.5	977
EOG093600W2	Duplicated	C0000040975_TRINITY_DN26458_c0_g1_i13	1169.1	977
EOG093600W2	Duplicated	C0000040976_TRINITY_DN26458_c0_g1_i14	1169.6	977
EOG093600WS	Missing
EOG093600X9	Duplicated	C0000048035_TRINITY_DN26048_c4_g2_i1	1134.1	913
EOG093600X9	Duplicated	C0000048039_TRINITY_DN26048_c4_g1_i2	1119.2	890
EOG093600X9	Duplicated	C0000048042_TRINITY_DN26048_c4_g1_i4	1021.1	843
EOG093600XL	Duplicated	C0000055956_TRINITY_DN30268_c0_g1_i17	1533.7	975
EOG093600XL	Duplicated	C0000055963_TRINITY_DN30268_c0_g1_i20	1533.7	975
EOG093600XL	Duplicated	C0000055967_TRINITY_DN30268_c0_g1_i23	1533.7	975
EOG093600YH	Fragmented	C0000035650_TRINITY_DN3301_c0_g1_i1	1018.2	696
EOG093600ZL	Missing
EOG0936011P	Duplicated	C0000010157_TRINITY_DN28816_c0_g2_i3	1162.3	751
EOG0936011P	Duplicated	C0000010160_TRINITY_DN28816_c0_g2_i4	1162.2	751
EOG0936011P	Duplicated	C0000010170_TRINITY_DN28816_c0_g2_i8	1052.1	687
EOG0936011U	Duplicated	C0000063284_TRINITY_DN24458_c0_g1_i8	1164.0	862
EOG0936011U	Duplicated	C0000063286_TRINITY_DN24458_c0_g2_i10	1137.6	864
EOG0936011U	Duplicated	C0000063296_TRINITY_DN24458_c0_g2_i16	1164.0	862
EOG0936011V	Duplicated	C0000055367_TRINITY_DN30208_c0_g2_i4	1596.7	907
EOG0936011V	Duplicated	C0000055371_TRINITY_DN30208_c0_g2_i5	1594.4	907
EOG0936011V	Duplicated	C0000055372_TRINITY_DN30208_c0_g2_i6	1596.8	907
EOG09360146	Complete	C0000138472_TRINITY_DN27613_c7_g4_i1	1338.0	771
EOG09360155	Fragmented	C0000220786_TRINITY_DN13890_c0_g1_i1	940.6	552
EOG0936015N	Missing
EOG0936017C	Duplicated	C0000029394_TRINITY_DN26755_c0_g1_i2	1584.1	836
EOG0936017C	Duplicated	C0000029395_TRINITY_DN26755_c0_g1_i3	1580.3	836
EOG0936017C	Duplicated	C0000029395_TRINITY_DN26755_c0_g1_i3	1580.3	836
EOG0936017C	Duplicated	C0000029396_TRINITY_DN26755_c0_g1_i4	1580.3	836
EOG0936017K	Complete	C0000242834_TRINITY_DN21325_c0_g1_i1	1026.9	574
EOG09360199	Duplicated	C0000052885_TRINITY_DN30295_c0_g2_i3	1295.7	738
EOG09360199	Duplicated	C0000052892_TRINITY_DN30295_c0_g2_i6	1296.6	738
EOG09360199	Duplicated	C0000052901_TRINITY_DN30295_c0_g2_i8	1296.5	738
EOG0936019N	Duplicated	C0000123689_TRINITY_DN29650_c0_g2_i4	1341.9	747
EOG0936019N	Duplicated	C0000123701_TRINITY_DN29650_c0_g7_i4	1384.3	777
EOG0936019N	Duplicated	C0000123708_TRINITY_DN29650_c0_g2_i9	1384.3	777
EOG0936019X	Duplicated	C0000224231_TRINITY_DN23142_c0_g1_i3	829.0	423
EOG0936019X	Duplicated	C0000224231_TRINITY_DN23142_c0_g1_i3	829.0	423
EOG0936019X	Duplicated	C0000224232_TRINITY_DN23142_c0_g1_i4	831.1	423
EOG0936019X	Duplicated	C0000224235_TRINITY_DN23142_c0_g1_i5	829.2	423
EOG093601AL	Fragmented	C0000113225_TRINITY_DN21972_c0_g1_i21	1608.3	837
EOG093601AN	Duplicated	C0000137568_TRINITY_DN27666_c0_g1_i18	813.9	658
EOG093601AN	Duplicated	C0000137575_TRINITY_DN27666_c0_g1_i24	814.6	658
EOG093601AN	Duplicated	C0000137576_TRINITY_DN27666_c0_g1_i25	814.0	658
EOG093601CE	Duplicated	C0000145000_TRINITY_DN23056_c0_g1_i3	1384.8	896
EOG093601CE	Duplicated	C0000145001_TRINITY_DN23056_c0_g1_i4	1372.8	827
EOG093601CE	Duplicated	C0000145005_TRINITY_DN23056_c0_g1_i8	1385.4	896
EOG093601CM	Duplicated	C0000239753_TRINITY_DN26835_c1_g2_i10	608.2	510
EOG093601CM	Duplicated	C0000239754_TRINITY_DN26835_c1_g2_i11	607.9	510
EOG093601CX	Complete	C0000036624_TRINITY_DN23838_c0_g1_i1	982.7	927
EOG093601DT	Duplicated	C0000125118_TRINITY_DN27399_c0_g1_i4	1326.3	869
EOG093601DT	Duplicated	C0000125126_TRINITY_DN27399_c0_g1_i12	1133.9	722
EOG093601FF	Duplicated	C0000041162_TRINITY_DN26456_c1_g1_i2	1664.3	790
EOG093601FF	Duplicated	C0000041163_TRINITY_DN26456_c1_g1_i3	1641.2	805
EOG093601FF	Duplicated	C0000041167_TRINITY_DN26456_c1_g1_i6	1664.0	790
EOG093601FH	Duplicated	C0000250719_TRINITY_DN25808_c0_g1_i1	1770.5	1063
EOG093601FH	Duplicated	C0000250720_TRINITY_DN25808_c0_g1_i2	1536.8	916
EOG093601FH	Duplicated	C0000250728_TRINITY_DN25808_c0_g1_i10	1770.6	1063
EOG093601G4	Fragmented	C0000033655_TRINITY_DN17945_c0_g1_i3	706.2	391
EOG093601IB	Duplicated	C0000141826_TRINITY_DN27828_c1_g1_i20	1120.9	795
EOG093601IB	Duplicated	C0000141835_TRINITY_DN27828_c1_g1_i24	1064.6	768
EOG093601IL	Duplicated	C0000119749_TRINITY_DN26254_c0_g1_i1	1611.7	980
EOG093601IL	Duplicated	C0000119764_TRINITY_DN26254_c0_g3_i8	1611.9	980
EOG093601IL	Duplicated	C0000119765_TRINITY_DN26254_c0_g1_i8	1587.7	990
EOG093601IV	Duplicated	C0000174204_TRINITY_DN25975_c1_g1_i1	1436.1	783
EOG093601IV	Duplicated	C0000174221_TRINITY_DN25975_c1_g1_i15	1436.4	783
EOG093601IV	Duplicated	C0000174223_TRINITY_DN25975_c1_g1_i16	1303.1	693
EOG093601IY	Missing
EOG093601KV	Complete	C0000252922_TRINITY_DN21660_c0_g1_i1	1293.7	740
EOG093601KY	Missing
EOG093601LZ	Duplicated	C0000289321_TRINITY_DN25423_c0_g4_i1	453.5	259
EOG093601LZ	Duplicated	C0000289325_TRINITY_DN25423_c0_g1_i4	454.4	277
EOG093601LZ	Duplicated	C0000289328_TRINITY_DN25423_c0_g4_i2	454.4	277
EOG093601M6	Duplicated	C0000102100_TRINITY_DN28950_c1_g2_i28	812.2	616
EOG093601M6	Duplicated	C0000102114_TRINITY_DN28950_c1_g2_i38	865.7	645
EOG093601MF	Duplicated	C0000110837_TRINITY_DN24165_c0_g1_i3	1813.2	1035
EOG093601MF	Duplicated	C0000110838_TRINITY_DN24165_c0_g1_i4	1813.2	1035
EOG093601MF	Duplicated	C0000110840_TRINITY_DN24165_c0_g1_i6	1813.2	1035
EOG093601MT	Duplicated	C0000306655_TRINITY_DN25195_c0_g2_i1	816.5	730
EOG093601MT	Duplicated	C0000306657_TRINITY_DN25195_c0_g3_i2	816.6	729
EOG093601MT	Duplicated	C0000306659_TRINITY_DN25195_c0_g2_i3	816.6	730
EOG093601NK	Duplicated	C0000099479_TRINITY_DN26335_c0_g1_i13	1278.9	814
EOG093601NK	Duplicated	C0000099485_TRINITY_DN26335_c0_g1_i19	1279.0	814
EOG093601NK	Duplicated	C0000099492_TRINITY_DN26335_c0_g1_i25	1278.9	814
EOG093601NU	Duplicated	C0000064595_TRINITY_DN21861_c0_g1_i1	1333.8	841
EOG093601NU	Duplicated	C0000064597_TRINITY_DN21861_c0_g2_i1	1406.9	934
EOG093601NU	Duplicated	C0000064599_TRINITY_DN21861_c0_g2_i2	1246.4	873
EOG093601OK	Duplicated	C0000203627_TRINITY_DN23548_c0_g1_i1	1293.9	742
EOG093601OK	Duplicated	C0000216411_TRINITY_DN12973_c0_g1_i1	1293.8	742
EOG093601PF	Duplicated	C0000106382_TRINITY_DN28650_c0_g1_i1	1596.4	829
EOG093601PF	Duplicated	C0000106383_TRINITY_DN28650_c0_g1_i2	1594.6	799
EOG093601PF	Duplicated	C0000106384_TRINITY_DN28650_c0_g2_i1	1591.8	799
EOG093601PJ	Fragmented	C0000266321_TRINITY_DN26644_c3_g4_i3	1511.3	803
EOG093601PV	Duplicated	C0000075557_TRINITY_DN27775_c0_g1_i3	1516.8	854
EOG093601PV	Duplicated	C0000075559_TRINITY_DN27775_c0_g2_i2	1516.9	854
EOG093601Q7	Duplicated	C0000046403_TRINITY_DN14909_c0_g1_i1	525.4	757
EOG093601Q7	Duplicated	C0000194541_TRINITY_DN13327_c0_g1_i1	525.5	757
EOG093601QL	Duplicated	C0000293744_TRINITY_DN29913_c1_g4_i1	1365.0	883
EOG093601QL	Duplicated	C0000293760_TRINITY_DN29913_c1_g3_i4	1364.6	883
EOG093601QL	Duplicated	C0000293773_TRINITY_DN29913_c1_g3_i6	1197.1	807
EOG093601SL	Missing
EOG093601SQ	Duplicated	C0000049065_TRINITY_DN26000_c3_g1_i4	1338.0	725
EOG093601SQ	Duplicated	C0000049066_TRINITY_DN26000_c3_g1_i5	1322.5	712
EOG093601SQ	Duplicated	C0000049068_TRINITY_DN26000_c3_g1_i7	1337.7	725
EOG093601T9	Complete	C0000152898_TRINITY_DN27936_c3_g2_i1	1029.7	589
EOG093601TO	Duplicated	C0000103994_TRINITY_DN28960_c0_g1_i5	1252.1	676
EOG093601TO	Duplicated	C0000103997_TRINITY_DN28960_c0_g1_i7	1345.1	714
EOG093601TO	Duplicated	C0000104005_TRINITY_DN28960_c0_g1_i12	1357.8	714
EOG093601TR	Missing
EOG093601U2	Missing
EOG093601UA	Duplicated	C0000217516_TRINITY_DN22427_c0_g1_i2	1185.5	687
EOG093601UA	Duplicated	C0000217519_TRINITY_DN22427_c0_g1_i5	1185.4	687
EOG093601UC	Duplicated	C0000290604_TRINITY_DN25404_c1_g2_i2	1308.9	691
EOG093601UC	Duplicated	C0000290642_TRINITY_DN25404_c1_g9_i1	1309.1	691
EOG093601V0	Duplicated	C0000025603_TRINITY_DN29169_c0_g2_i18	1114.2	732
EOG093601V0	Duplicated	C0000025603_TRINITY_DN29169_c0_g2_i18	1114.2	732
EOG093601V0	Duplicated	C0000025609_TRINITY_DN29169_c0_g2_i20	1019.1	695
EOG093601V0	Duplicated	C0000025609_TRINITY_DN29169_c0_g2_i20	1114.4	732
EOG093601V0	Duplicated	C0000025618_TRINITY_DN29169_c0_g2_i25	1114.0	732
EOG093601VD	Missing
EOG093601WC	Duplicated	C0000157547_TRINITY_DN29757_c0_g1_i3	1122.3	778
EOG093601WC	Duplicated	C0000301143_TRINITY_DN28451_c5_g1_i2	1102.1	671
EOG093601XR	Complete	C0000201656_TRINITY_DN28374_c4_g1_i3	794.9	520
EOG093601Y2	Duplicated	C0000102248_TRINITY_DN28981_c1_g3_i7	1229.0	852
EOG093601Y2	Duplicated	C0000230961_TRINITY_DN28137_c1_g1_i3	1223.5	849
EOG093601Y2	Duplicated	C0000230976_TRINITY_DN28137_c1_g1_i6	1224.4	849
EOG093601Y6	Missing
EOG09360205	Duplicated	C0000297007_TRINITY_DN25686_c0_g1_i1	799.0	537
EOG09360205	Duplicated	C0000307423_TRINITY_DN25143_c0_g1_i1	925.2	643
EOG0936020C	Duplicated	C0000076788_TRINITY_DN27772_c5_g2_i4	1111.5	729
EOG0936020C	Duplicated	C0000076790_TRINITY_DN27772_c5_g2_i5	1108.4	729
EOG0936020C	Duplicated	C0000076791_TRINITY_DN27772_c5_g2_i6	1108.3	729
EOG0936020C	Duplicated	C0000076791_TRINITY_DN27772_c5_g2_i6	1108.3	729
EOG0936020T	Duplicated	C0000104042_TRINITY_DN28930_c0_g1_i16	1589.9	806
EOG0936020T	Duplicated	C0000130234_TRINITY_DN29424_c2_g2_i1	1589.3	806
EOG0936021K	Duplicated	C0000079713_TRINITY_DN22917_c0_g1_i1	1045.4	704
EOG0936021K	Duplicated	C0000128702_TRINITY_DN29467_c0_g2_i2	1052.1	730
EOG0936021K	Duplicated	C0000128705_TRINITY_DN29467_c0_g2_i4	1053.8	730
EOG09360236	Duplicated	C0000217252_TRINITY_DN22419_c0_g1_i4	905.6	714
EOG09360236	Duplicated	C0000217257_TRINITY_DN22419_c0_g1_i8	773.4	598
EOG0936023S	Duplicated	C0000176934_TRINITY_DN26155_c0_g1_i7	1425.1	890
EOG0936023S	Duplicated	C0000176934_TRINITY_DN26155_c0_g1_i7	1425.1	890
EOG0936023S	Duplicated	C0000176935_TRINITY_DN26155_c0_g1_i8	1425.2	890
EOG0936023S	Duplicated	C0000176936_TRINITY_DN26155_c0_g1_i9	1424.9	889
EOG0936024P	Duplicated	C0000075188_TRINITY_DN27780_c1_g1_i3	1154.3	728
EOG0936024P	Duplicated	C0000075202_TRINITY_DN27780_c1_g1_i13	1127.7	728
EOG0936024P	Duplicated	C0000075205_TRINITY_DN27780_c1_g1_i15	1268.0	745
EOG0936024U	Duplicated	C0000034734_TRINITY_DN20888_c0_g1_i1	946.4	562
EOG0936024U	Duplicated	C0000034735_TRINITY_DN20888_c0_g1_i2	826.8	487
EOG09360254	Missing
EOG09360259	Complete	C0000036039_TRINITY_DN79549_c0_g1_i1	762.5	445
EOG0936025H	Missing
EOG0936025L	Duplicated	C0000062517_TRINITY_DN24495_c1_g1_i2	1140.1	747
EOG0936025L	Duplicated	C0000062518_TRINITY_DN24495_c1_g1_i3	1119.3	748
EOG0936025L	Duplicated	C0000062524_TRINITY_DN24495_c1_g2_i3	1139.5	747
EOG0936026P	Missing
EOG0936026R	Duplicated	C0000069984_TRINITY_DN2537_c0_g1_i1	650.0	556
EOG0936026R	Duplicated	C0000108785_TRINITY_DN21788_c0_g1_i2	753.9	634
EOG0936026Z	Missing
EOG0936027I	Duplicated	C0000071913_TRINITY_DN29293_c3_g5_i1	971.8	655
EOG0936027I	Duplicated	C0000071916_TRINITY_DN29293_c3_g5_i2	971.6	655
EOG0936027I	Duplicated	C0000071925_TRINITY_DN29293_c3_g7_i2	915.7	607
EOG0936028K	Duplicated	C0000007238_TRINITY_DN30922_c3_g1_i3	683.1	498
EOG0936028K	Duplicated	C0000007239_TRINITY_DN30922_c3_g1_i4	705.6	514
EOG0936028K	Duplicated	C0000007243_TRINITY_DN30922_c3_g1_i8	647.6	475
EOG0936028O	Duplicated	C0000167086_TRINITY_DN28026_c0_g3_i4	1078.8	811
EOG0936028O	Duplicated	C0000167089_TRINITY_DN28026_c0_g3_i5	1078.8	811
EOG0936028O	Duplicated	C0000167093_TRINITY_DN28026_c0_g1_i16	1078.8	811
EOG0936028V	Duplicated	C0000111154_TRINITY_DN24134_c0_g1_i8	928.2	695
EOG0936028V	Duplicated	C0000111156_TRINITY_DN24134_c0_g1_i10	925.8	695
EOG0936028V	Duplicated	C0000111156_TRINITY_DN24134_c0_g1_i10	925.8	695
EOG0936028V	Duplicated	C0000111157_TRINITY_DN24134_c0_g1_i11	928.7	695
EOG09360296	Duplicated	C0000229274_TRINITY_DN28187_c1_g2_i4	1657.6	808
EOG09360296	Duplicated	C0000229277_TRINITY_DN28187_c1_g1_i4	1657.6	808
EOG093602A0	Duplicated	C0000182773_TRINITY_DN27408_c2_g1_i4	1421.7	703
EOG093602A0	Duplicated	C0000182774_TRINITY_DN27408_c2_g1_i5	1477.2	755
EOG093602A0	Duplicated	C0000182775_TRINITY_DN27408_c2_g1_i6	1477.3	755
EOG093602C3	Duplicated	C0000256074_TRINITY_DN45447_c0_g1_i1	914.5	599
EOG093602C3	Duplicated	C0000310313_TRINITY_DN693_c0_g1_i1	835.4	489
EOG093602CL	Duplicated	C0000003391_TRINITY_DN27594_c3_g1_i3	702.7	705
EOG093602CL	Duplicated	C0000003394_TRINITY_DN27594_c3_g2_i3	703.1	705
EOG093602E8	Duplicated	C0000075739_TRINITY_DN27711_c0_g1_i11	1296.3	696
EOG093602E8	Duplicated	C0000075753_TRINITY_DN27711_c0_g1_i25	1296.5	696
EOG093602E8	Duplicated	C0000075757_TRINITY_DN27711_c0_g1_i29	1296.3	696
EOG093602EO	Duplicated	C0000248837_TRINITY_DN25809_c0_g1_i45	1493.5	747
EOG093602EO	Duplicated	C0000248843_TRINITY_DN25809_c0_g1_i51	1492.6	746
EOG093602EO	Duplicated	C0000248845_TRINITY_DN25809_c0_g1_i53	1491.9	746
EOG093602EU	Duplicated	C0000228376_TRINITY_DN23790_c0_g1_i4	943.3	546
EOG093602EU	Duplicated	C0000228386_TRINITY_DN23790_c0_g1_i12	942.7	545
EOG093602EU	Duplicated	C0000228392_TRINITY_DN23790_c0_g1_i17	934.0	545
EOG093602F2	Duplicated	C0000224387_TRINITY_DN23127_c0_g1_i1	1006.0	604
EOG093602F2	Duplicated	C0000224388_TRINITY_DN23127_c0_g2_i1	1006.2	604
EOG093602FO	Duplicated	C0000178404_TRINITY_DN26153_c0_g2_i12	1116.4	727
EOG093602FO	Duplicated	C0000178409_TRINITY_DN26153_c0_g2_i15	1114.9	727
EOG093602FO	Duplicated	C0000178413_TRINITY_DN26153_c0_g2_i17	1114.8	727
EOG093602GP	Duplicated	C0000139283_TRINITY_DN27625_c0_g2_i10	1150.6	609
EOG093602GP	Duplicated	C0000139283_TRINITY_DN27625_c0_g2_i10	1150.6	609
EOG093602GP	Duplicated	C0000139286_TRINITY_DN27625_c0_g2_i12	1151.2	609
EOG093602GP	Duplicated	C0000139292_TRINITY_DN27625_c0_g2_i18	1151.0	609
